484
24.596748 24.596748 1.000000        Interval: 10000.000000
0 36 : 284
0 38 : 302
0 404 : 333
1 304 : 324
1 311 : 436
1 335 : 330
2 292 : 288
2 334 : 302
2 363 : 261
3 226 : 445
4 125 : 367
4 265 : 407
4 481 : 424
5 196 : 577
5 206 : 329
5 286 : 735
6 198 : 302
6 210 : 487
6 471 : 386
7 63 : 412
7 234 : 527
7 475 : 461
8 90 : 454
8 210 : 261
8 257 : 376
9 77 : 354
9 475 : 417
10 148 : 372
10 225 : 494
10 348 : 284
11 172 : 715
11 474 : 706
12 368 : 378
12 384 : 332
12 431 : 386
13 440 : 412
14 81 : 337
14 430 : 636
14 450 : 520
15 168 : 407
15 214 : 312
15 251 : 531
16 54 : 448
16 61 : 314
16 375 : 343
17 141 : 468
17 143 : 480
17 387 : 275
18 76 : 333
19 377 : 719
19 405 : 729
20 217 : 471
20 228 : 438
20 334 : 382
23 205 : 471
23 276 : 447
23 298 : 453
24 163 : 441
24 169 : 343
24 361 : 419
25 49 : 654
25 282 : 594
26 77 : 378
26 197 : 580
26 262 : 397
27 166 : 432
27 239 : 511
27 469 : 412
28 129 : 270
28 354 : 422
28 466 : 446
29 309 : 468
29 356 : 555
29 357 : 595
30 105 : 581
30 179 : 598
31 223 : 520
31 365 : 325
31 441 : 319
32 122 : 324
32 383 : 359
32 438 : 316
33 297 : 545
34 120 : 481
34 197 : 550
35 186 : 359
35 348 : 316
35 369 : 390
36 207 : 417
36 328 : 438
38 199 : 447
39 240 : 362
39 286 : 595
39 316 : 323
40 377 : 315
40 403 : 502
40 459 : 406
41 121 : 627
41 199 : 469
41 366 : 879
42 53 : 412
42 81 : 311
43 217 : 479
43 292 : 312
44 47 : 262
44 91 : 468
44 323 : 433
45 167 : 303
45 316 : 330
45 379 : 214
46 221 : 504
46 392 : 550
47 406 : 362
47 444 : 591
48 171 : 363
48 274 : 466
48 339 : 420
49 201 : 381
49 442 : 410
50 183 : 353
50 204 : 290
50 290 : 357
51 262 : 431
51 271 : 353
51 439 : 346
52 111 : 565
52 279 : 276
52 347 : 398
53 205 : 468
53 278 : 386
54 260 : 396
55 153 : 617
56 381 : 343
57 193 : 345
58 111 : 522
58 133 : 324
58 405 : 486
59 100 : 367
59 101 : 318
60 86 : 362
60 242 : 335
60 453 : 486
61 268 : 479
61 416 : 373
62 116 : 493
62 394 : 401
62 460 : 420
64 73 : 429
64 394 : 367
65 370 : 339
65 448 : 321
65 483 : 287
66 113 : 382
66 281 : 356
66 410 : 601
67 359 : 415
68 89 : 311
68 224 : 511
68 364 : 502
69 167 : 336
69 240 : 457
70 170 : 651
70 237 : 501
70 449 : 411
71 155 : 367
71 476 : 328
71 480 : 438
72 261 : 462
72 442 : 485
73 281 : 501
73 427 : 404
74 78 : 373
74 266 : 433
74 413 : 374
75 233 : 415
75 426 : 906
76 267 : 514
76 433 : 413
